,Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,labels
76,Raftaar - Swag Mera Desi.mp3,1.6682245,0.51975393,0.47574657,0.2344282105,8.678655,2.8043015,3581.05302,3487.570579,20.53606926,7577.404715,-0.006755850136,0.07486899089,0
77,Raftaar - Toh Dishoom.mp3,1.5411022,0.48713776,0.42008147,0.2344432292,14.510762,3.8502681,2780.514232,3316.109818,19.69161025,6092.06228,-0.003403339753,0.04920988335,0
78,Roach Killer - Desi Hip Hop - Spoken Word.mp3,1.7350404,0.5053545,0.47543338,0.2527904391,2.3456717,-1.9027239,3514.032647,3436.608346,20.29150346,7193.77034,0.03168042516,0.07377220695,0
79,Sidhu Moose Wala - Badfella.mp3,1.4731647,0.4111997,0.5175529,0.254994637,14.95012,2.1795588,2691.058905,2755.235076,19.27282572,5557.322426,-0.002003310477,0.06030504596,0
80,Sidhu Moose Wala - Boss.mp3,1.5488324,0.45392075,0.35894936,0.2179355162,12.800977,1.3415672,2922.028893,3279.216115,20.35020634,6115.959397,-0.06502376671,0.05549858971,0
81,Sidhu Moose Wala - Dawood.mp3,1.5291446,0.38851368,0.45941174,0.2451357901,16.400215,3.7149491,2838.656799,2906.257933,19.64866477,5879.734646,-0.006608810507,0.06544562033,0
82,Sidhu Moose Wala - Death Route.mp3,1.5276641,0.46175265,0.43939814,0.2349946196,9.688549,-0.4914189,2924.037005,3028.644932,21.073292,6078.586834,0.03607658872,0.06453315743,0
83,Sidhu Moose Wala - Devil - Skit.mp3,1.4690304,0.42525208,0.49503732,0.2434362914,11.879987,0.88074934,2367.918928,2648.585584,20.25972473,4840.913314,-0.01488648016,0.05022726481,0
84,Sidhu Moose Wala - Devil.mp3,1.4690304,0.42525208,0.49503732,0.2434362914,11.879987,0.88074934,2367.918928,2648.585584,20.25972473,4840.913314,-0.01488648016,0.05022726481,0
85,Sidhu Moose Wala - Dollar - Remix.mp3,1.4568393,0.35085192,0.42110905,0.2444357112,12.894939,-0.997012,3198.744288,3284.239936,20.44082375,6730.24466,0.02576592989,0.0674012582,0
86,Sidhu Moose Wala - Im Better Now - Skit.mp3,1.3887148,0.39722347,0.37890473,0.2199289693,18.67971,1.8611553,2305.768105,2934.781084,20.27386488,4930.561568,-0.04000512847,0.04318859722,0
87,Sidhu Moose Wala - Im Better Now.mp3,1.4647082,0.40914884,0.3830355,0.2241325916,22.25941,2.7692907,2185.475314,2740.835502,20.2297095,4622.229332,-0.04153656498,0.04319814705,0
88,Sidhu Moose Wala - Intro.mp3,1.5881904,0.42684293,0.47670832,0.2514498125,9.0088625,1.3198265,2651.243258,2938.491507,20.45287342,5526.194984,0.001658429548,0.05700193362,0
89,Sidhu Moose Wala - Issa Jatt.mp3,1.6014003,0.48603356,0.4462831,0.2414729267,9.784573,-1.2287037,2991.984207,3240.258474,20.02499773,6172.560826,-0.01176585325,0.06416018298,0
90,Sidhu Moose Wala - Jaat Da Muqabala.mp3,1.5822114,0.45012894,0.4999803,0.2563242112,7.5948277,0.22550103,3060.19812,3209.23465,20.76698389,6536.477938,0.02247990639,0.07283516565,0
